Type,Items
PQ,VoltagePhaseAngle
PQ,CurrentRMS
PQ,CrestFactor
PQ,Unbalance
PQ,Harmonics
PQ,ZeroSequence
PQ,NegativeSequence
PQ,CurrentPhaseAngle
PQ,PhaseAngle
PQ,PowerFactor
PQ,TotalDemandDistortion
PQ,Power
PQ,Events
PQ,VoltageRMS
PQ,Frequency
PQ,DC
Fault,NoLoad
Fault,OverCurrent
Fault,PhaseOrder
Fault,NoPower
Fault,OverVoltage
Fault,UnderVoltage
Fault,FrequencyRange
Fault,VF
Fault,CF
Fault,PhaseOrderVI
Event,TransientCurrentEvent
Event,OverCurrentEvent
Event,UnderCurrentEvent
Event,SagEvent
Event,SwellEvent
Event,InterruptionEvent
Event,TransientVoltageEvent
